"filename", "language", "Python", "JavaScript", "comment", "blank", "total"
"e:\Projects\Python\if1210-2024-tubes-k08-a\data\generator\monsters\generateogmonsters.mjs", "JavaScript", 0, 1, 0, 0, 1
"e:\Projects\Python\if1210-2024-tubes-k08-a\main.py", "Python", 15, 0, -1, 0, 14
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\arena\ui_logic.py", "Python", 23, 0, -1, 0, 22
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\battle\ui_logic.py", "Python", 9, 0, 1, 0, 10
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\__init__.py", "Python", 8, 0, 0, 6, 14
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\menu.py", "Python", 9, 0, 0, 0, 9
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\ui_battle.py", "Python", 4, 0, 0, 0, 4
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\ui_debug.py", "Python", 90, 0, -6, 3, 87
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\ui_inventory.py", "Python", 34, 0, 0, 0, 34
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\ui_laboratory.py", "Python", 36, 0, 0, 0, 36
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\ui_monster_management.py", "Python", 675, 0, 7, 11, 693
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\ui_save.py", "Python", 36, 0, 0, 2, 38
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\ui_shop.py", "Python", 40, 0, 0, 0, 40
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\ui_shop_management.py", "Python", 624, 0, 1, 12, 637
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\potion\__init__.py", "Python", 1, 0, 0, 0, 1
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\potion\potion.py", "Python", 4, 0, 0, 1, 5
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\shop\shop.py", "Python", 1, 0, 0, 0, 1
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\state\__init__.py", "Python", 1, 0, 0, 0, 1
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\state\state.py", "Python", 12, 0, 1, 0, 13
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\state\visual.py", "Python", 3, 0, 0, 0, 3
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\console\__init__.py", "Python", 1, 0, 0, 0, 1
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\console\console.py", "Python", 45, 0, 3, 1, 49
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\console\driver_std.py", "Python", 30, 0, 0, 1, 31
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\console\views.py", "Python", 7, 0, 0, 1, 8
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\csv\csv.py", "Python", 8, 0, 0, 0, 8
"Total", "-", 1716, 1, 5, 38, 1760
