"filename", "language", "Python", "JavaScript", "comment", "blank", "total"
"e:\Projects\Python\if1210-2024-tubes-k08-a\data\generator\monsters\generateogmonsters.mjs", "JavaScript", 0, -27, 0, -1, -28
"e:\Projects\Python\if1210-2024-tubes-k08-a\main.py", "Python", 12, 0, 0, 0, 12
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\battle\battle.py", "Python", -1, 0, 4, 0, 3
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\__init__.py", "Python", 1, 0, 0, 0, 1
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\menu.py", "Python", 3, 0, 0, 0, 3
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\ui_battle.py", "Python", -6, 0, 2, 0, -4
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\ui_inventory.py", "Python", 1, 0, 0, 0, 1
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\ui_laboratory.py", "Python", 8, 0, 0, 0, 8
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\ui_monster_management.py", "Python", -4, 0, 0, 0, -4
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\ui_shop.py", "Python", 5, 0, 0, 0, 5
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\ui_shop_management.py", "Python", 9, 0, 0, 0, 9
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\state\__init__.py", "Python", 20, 0, 0, 0, 20
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\state\state.py", "Python", 3, 0, 0, 0, 3
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\state\visual.py", "Python", 60, 0, 0, 1, 61
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\user\user.py", "Python", 4, 0, 0, 0, 4
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\console\__init__.py", "Python", 1, 0, 0, 0, 1
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\console\driver_std.py", "Python", 23, 0, 0, 2, 25
"Total", "-", 139, -27, 6, 2, 120
